Node Number =   5620
  289.27777137   42.18304445   42.18304400
  289.27761079   42.18323900   42.18323900
  289.27720662   42.18325807   42.18325800
  289.27680932   42.18352891   42.18352900
  289.27599786   42.18364464   42.18364500
  289.27503221   42.18369295   42.18369300
  289.27406276   42.18363955   42.18364000
  289.27296456   42.18377304   42.18377300
  289.27146247   42.18387460   42.18387500
  289.27011118   42.18321607   42.18321600
  289.26830314   42.18243411   42.18243400
  289.26654853   42.18177414   42.18177400
  289.26486188   42.18104935   42.18104900
  289.29023737   42.20106124   42.20106100
  289.29026786   42.20041654   42.20041700
  289.28995523   42.19989774   42.19989800
  289.29037492   42.19922640   42.19922600
  289.29054293   42.19851687   42.19851700
  289.29048885   42.19758607   42.19758600
  289.29000883   42.19673160   42.19673200
  289.28945898   42.19581604   42.19581600
  289.28892489   42.19482802   42.19482800
  289.28882625   42.19371414   42.19371400
  289.28946666   42.20277406   42.20277400
  289.28978741   42.20217133   42.20217100
  289.28990948   42.20161435   42.20161400
  289.28849792   42.20445253   42.20445300
  289.28891016   42.20394899   42.20394900
  289.28922297   42.20339201   42.20339200
  289.28807859   42.20498657   42.20498700
  289.28356174   42.20969624   42.20969600
  289.28390178   42.20916670   42.20916700
  289.28427865   42.20857881   42.20857900
  289.28480572   42.20798443   42.20798400
  289.28610316   42.20778896   42.20778900
  289.28634665   42.20707708   42.20707700
  289.28661418   42.20624468   42.20624500
  289.28718885   42.20560370   42.20560400
  289.28736151   42.20502853   42.20502900
  289.28138043   42.21042401   42.21042400
  289.28195379   42.20980467   42.20980500
  289.28263693   42.20965039   42.20965000
  289.27731274   42.21082301   42.21082300
  289.27836450   42.21117202   42.21117200
