Node Number =   5620
  289.28115061   42.18421175   -6.92800000
  289.28058954   42.18389913   -5.04100000
  289.28034568   42.18340549   -6.63200000
  289.27973635   42.18290198   -5.30400000
  289.27906768   42.18257525   -5.18600000
  289.27903758   42.18203738   -6.39500000
  289.27825169   42.18175885   -2.72000000
  289.27719142   42.18188475   -2.45700000
  289.27625254   42.18128206   -4.21400000
  289.27494802   42.18096539   -4.67400000
  289.27359771   42.18078234   -9.05000000
  289.27278242   42.17998184   -7.62100000
  289.27159847   42.17895508   -5.77700000
  289.26986676   42.17810825  -13.61200000
  289.26798247   42.17732619   -6.34600000
  289.29380725   42.19072243   11.96100000
  289.29593856   42.19194064   13.61600000
  289.29618106   42.19347049   16.31800000
  289.29323607   42.20093156    9.55100000
  289.29396090   42.19961546    9.91600000
  289.29415874   42.19824217   11.80100000
  289.29429612   42.19703676   13.85700000
  289.29417342   42.19578475   15.19700000
  289.29401515   42.19460641   15.38200000
  289.29279291   42.20213700    9.36300000
  289.29190827   42.20408247    5.81700000
  289.29219821   42.20309829    7.93600000
  289.29123720   42.20520784    6.50200000
  289.28843703   42.20995329    8.28000000
  289.28911622   42.20868681    8.29600000
  289.28980270   42.20753860    8.02900000
  289.29034417   42.20626449    8.55300000
  289.28669929   42.21266602    9.64300000
  289.28756742   42.21126556    7.54200000
  289.28363388   42.21408645   12.42600000
  289.28470584   42.21289826   11.39100000
  289.27829716   42.21452335    7.95400000
  289.28014196   42.21481871    7.43100000
  289.28144692   42.21377615    7.15900000
  289.27507071   42.21485896    7.30600000
  289.27625948   42.21409319    4.86000000
  289.27285885   42.21462760    7.02800000
  289.26626142   42.21563772    6.81500000
  289.26746985   42.21526016    5.66000000
  289.26903946   42.21539574   12.74600000
  289.27130381   42.21517188    8.60500000
  289.26361883   42.21724517    3.34800000
  289.26438640   42.21646932    6.04500000
  289.26490508   42.21575885    4.97200000
  289.26087978   42.21781921   -6.26800000
  289.26159667   42.21785736    0.03700000
  289.26198959   42.21743203    0.03200000
  289.26271235   42.21743963    1.35400000
  289.25832302   42.21853658   -2.69500000
  289.25926921   42.21808072   -3.10800000
  289.25983979   42.21779999   -3.56800000
  289.26038128   42.21758842   -5.47200000
  289.25657101   42.21832451   -4.10900000
  289.25740856   42.21812165   -3.67000000
  289.25301736   42.21753864   -6.00100000
  289.25393314   42.21805283   -4.98300000
  289.25484059   42.21815375   -3.09800000
  289.25572041   42.21796461   -4.97300000
  289.25237799   42.21514691  -12.29500000
  289.25289881   42.21620019  -10.26400000
  289.25110592   42.21375659  -14.29100000
  289.25309322   42.21692502   -8.26500000
  289.26658473   42.17661846   -8.48400000
